"filename", "language", "C", "comment", "blank", "total"
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_2\Example_2.1.c", "C", 12, 0, 3, 15
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_2\Example_2.2.c", "C", 12, 1, 5, 18
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_2\Example_2.3.c", "C", 14, 1, 6, 21
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_2\Example_2.4.c", "C", 12, 1, 4, 17
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_2\Example_2.5.c", "C", 12, 1, 4, 17
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.1.c", "C", 16, 2, 7, 25
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.10.c", "C", 13, 1, 5, 19
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.2.c", "C", 12, 1, 5, 18
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.3.c", "C", 10, 1, 5, 16
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.4.c", "C", 15, 1, 5, 21
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.5.c", "C", 11, 1, 5, 17
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.6.c", "C", 15, 1, 6, 22
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.7.c", "C", 14, 2, 5, 21
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.8.c", "C", 13, 2, 3, 18
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_3\Example_3.9.c", "C", 14, 1, 5, 20
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.1.c", "C", 22, 1, 6, 29
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.10.c", "C", 9, 1, 5, 15
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.11.c", "C", 13, 1, 6, 20
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.13.c", "C", 9, 1, 5, 15
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.14.c", "C", 11, 1, 4, 16
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.15.c", "C", 14, 1, 5, 20
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.16.c", "C", 17, 1, 5, 23
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.17.c", "C", 11, 1, 4, 16
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.2.c", "C", 11, 1, 7, 19
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.3.c", "C", 16, 1, 6, 23
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_4\Example_4.4.c", "C", 15, 1, 6, 22
